model,model_adj_r2,model_aic,model_bic,model_f_stat,model_f_stat_pval,model_r2,pred_coef,pred_col,pred_col_pval,pred_num_miss
hispanic_2016_num_students,0.10363537616771257,4889.967237329552,4898.163385893884,52.334139919240904,2.075427024696441e-12,0.10565421541057807,24.089575818578485,const,1.2411861039854136e-09,
hispanic_2016_num_students,0.10363537616771257,4889.967237329552,4898.163385893884,52.334139919240904,2.075427024696441e-12,0.10565421541057807,0.09308394494135641,hispanic_2016_num_students,2.075427024696597e-12,4.0
hispanic_2017_avg_ela,0.10498707127232043,4714.128571098954,4722.246817490118,51.08808028841423,3.861749782064984e-12,0.10708312028573408,-117.1499828517764,const,4.3511050099983864e-07,
hispanic_2017_avg_ela,0.10498707127232043,4714.128571098954,4722.246817490118,51.08808028841423,3.861749782064984e-12,0.10708312028573408,60.945134539228675,hispanic_2017_avg_ela,3.861749782065249e-12,21.0
hispanic_2017_avg_math,0.07557493813648619,4717.6557038113015,4725.769271837758,35.826969728884904,4.588527129180673e-09,0.077744950018795,-60.56280151092549,const,0.00075092837126209,
hispanic_2017_avg_math,0.07557493813648619,4717.6557038113015,4725.769271837758,35.826969728884904,4.588527129180673e-09,0.077744950018795,42.082954764220275,hispanic_2017_avg_math,4.588527129180826e-09,22.0
hispanic_2017_incoming_ela,0.18061546003374707,3182.324500596381,3189.6153943916675,63.160752668843905,4.6456567045161805e-14,0.18352107896979764,-178.61289914920533,const,4.641125702829804e-09,
hispanic_2017_incoming_ela,0.18061546003374707,3182.324500596381,3189.6153943916675,63.160752668843905,4.6456567045161805e-14,0.18352107896979764,93.07628729719139,hispanic_2017_incoming_ela,4.6456567045161616e-14,166.0
hispanic_2017_incoming_math,0.2040104551612142,3184.6553681370933,3191.9533166134156,73.53230797436773,6.670002387451315e-16,0.20682313906523808,-171.24547607885458,const,4.717998251375614e-10,
hispanic_2017_incoming_math,0.2040104551612142,3184.6553681370933,3191.9533166134156,73.53230797436773,6.670002387451315e-16,0.20682313906523808,89.65757864032244,hispanic_2017_incoming_math,6.670002387451378e-16,165.0
hispanic_2017_num_students,0.11052478356239337,4906.6733381292215,4914.878455318449,56.419254587275255,3.235403818887679e-13,0.11251912261270203,22.934126288645512,const,7.731415710948589e-09,
hispanic_2017_num_students,0.11052478356239337,4906.6733381292215,4914.878455318449,56.419254587275255,3.235403818887679e-13,0.11251912261270203,0.09679613704226057,hispanic_2017_num_students,3.235403818887028e-13,2.0
incoming_avg_5th_grade_ela_rating_2016_city_diff,0.2748413323747936,3386.565173133754,3394.0123433376584,116.5976065884071,3.192574408390668e-23,0.2772189017768435,60.32483413172508,const,3.292460749934898e-45,
incoming_avg_5th_grade_ela_rating_2016_city_diff,0.2748413323747936,3386.565173133754,3394.0123433376584,116.5976065884071,3.192574408390668e-23,0.2772189017768435,94.529718986636,incoming_avg_5th_grade_ela_rating_2016_city_diff,3.192574408390692e-23,143.0
